Idiom,Meaning
가까운 남이 먼 일가보다 낫다,이웃끼리 서로 친하게 지내다 보면 먼 곳에 있는 일가보다 더 친하게 되어 서로 도우며 살게 된다는 것을 이르는 말.
가까운 데 집은 깎이고 먼 데 절은 비친다, 늘 가까이에 있는 것은 그 뛰어남이 보이지 않는 반면 멀리 있는 것은 실제보다 더 돋보이기 쉬움을 비유적으로 이르는 말.
가까운 무당보다 먼 데 무당이 영하다,흔히 사람은 자신이 잘 알고 가까이 있는 것보다는 잘 모르고 멀리 있는 것을 더 좋은 것인 줄로 생각한다는 말.
가까운 집 며느리일수록 흉이 많다,늘 가까이 있고 잘 아는 사이일수록 상대편의 결점이 눈에 더 많이 띈다는 말.
가난과 거지는 사촌 간이다,가난이 극도에 이르면 결국에 가서는 얻어먹으러 나서는 길밖에 없음을 이르는 말.
가난도 암가난 수가난이 있다,"가난한 살림에는 여자가 살림을 잘 못하는 탓으로 못살게 되는 암가난과, 남자가 똑똑하지 못하여 살림이 쪼들리는 수가난이 있다는 말."
가난한 사람 걱정은 결국 돈 한 가지 없다는 걱정이다,가난한 사람에게서 걱정이란 결국 돈이 없는 데서 생기는 걱정뿐이라는 말.
가난한 사람의 한 등불이 백만장자의 일만 등불보다 낫다,가난한 사람이 남을 위하여 어떤 좋은 일을 하거나 내놓는 것이 비록 보잘것없고 적다 하여도 부자들이 많이 내는 것보다 귀중하다는 말.
가는 년이 물 길어다 놓고 갈까,이미 일이 다 틀어져 그만두는 터에 뒷일을 생각하고 돌아다볼 리 만무함을 비유적으로 이르는 말.
가는 떡이 커야 오는 떡이 크다,자기가 남에게 말이나 행동을 좋게 하여야 남도 자기에게 좋게 한다는 말.
가는 말에 채찍질,"열심히 하고 있는데도 더 빨리하라고 독촉함을 비유적으로 이르는 말.,형편이나 힘이 한창 좋을 때라도 더욱 마음을 써서 힘써야 함을 비유적으로 이르는 말."
